Exacution_Time,Avg_Time
1.1551257041282952,1.1551257041282952
0.46252959896810353,0.8088276515481994
0.24165981402620673,0.6197717057075351
0.3459085049107671,0.5513059055083431
0.34387242095544934,0.5098192085977644
0.6666093938983977,0.5359509061478699
0.4169985761400312,0.5189577161467501
0.44130320101976395,0.5092509017558768
0.29281221120618284,0.4852021583614664
0.6621728751342744,0.5028992300387471
Batch Avg0,0.5028992300387471
0.296097497921437,0.296097497921437
0.6391439011786133,0.46762069955002517
0.47582915099337697,0.4703568500311424
0.2980089189950377,0.42726986727211624
0.4724418199621141,0.43630425781011584
0.46537815290503204,0.44114990699260187
0.3950877489987761,0.4345695987077696
0.47357487794943154,0.43944525861297734
0.4432373938616365,0.4398666069739395
0.522559761069715,0.448135922383517
Batch Avg1,0.448135922383517
0.6214909180998802,0.6214909180998802
0.748655762989074,0.6850733405444771
0.5463807650376111,0.6388424820421884
0.5214786550495774,0.6095015252940357
0.6806850009597838,0.6237382204271853
0.5687533190939575,0.6145740702049807
0.590045970864594,0.6110700560134968
0.5467308049555868,0.6030276496312581
0.5716753520537168,0.5995440610115312
0.6931208020541817,0.6089017351157964
Batch Avg2,0.6089017351157964
0.6950629050843418,0.6950629050843418
1.2420267250854522,0.968544815084897
0.9642268989700824,0.9671055097132921
0.8919744838494807,0.9483227532473393
1.5555376699194312,1.0697657365817577
1.182286810129881,1.0885192488397781
1.1646687069442123,1.0993977428546973
0.7390009299851954,1.0543481412460096
0.7427092739380896,1.0197216004340186
0.697528368094936,0.9875022772001103
Batch Avg3,0.9875022772001103
1.0006215318571776,1.0006215318571776
1.5162054928950965,1.258413512376137
1.5629332109820098,1.3599200785780947
0.9847814890090376,1.2661354311858304
1.1723033459857106,1.2473690141458065
0.9132850258611143,1.191688349431691
1.0857312558218837,1.176551621773147
0.8297869921661913,1.1332060430722777
1.28945545386523,1.1505670887159392
1.0230981828644872,1.1378201981307938
Batch Avg4,1.1378201981307938
0.9435190979856998,0.9435190979856998
