Exacution_Time,Avg_Time
0.43561473407316953,0.43561473407316953
1.2918317019939423,0.8637232180335559
0.706999605987221,0.8114820140181109
0.3907214479986578,0.7062918725132477
0.19557885499671102,0.6041492690099404
0.7413105770247057,0.6270094870124012
0.1529910690151155,0.5592925701556462
6.307986902073026,1.2778793616453186
0.3125023680040613,1.1706152512407344
1.7827219099272043,1.2318259171093815
0.7117822889704257,1.1845492236422037
0.773151895031333,1.150266112924631
1.2563394909957424,1.1584256035454858
0.5500164310215041,1.1149678055080585
0.6258647689828649,1.0823609364063789
0.6408573540393263,1.0547669625084382
0.6033641579560935,1.0282138563583003
0.34562367701437324,0.990292179728082
0.90259331301786,0.9856764499012283
0.780029046931304,0.9753940797527321
Batch Avg0,0.9753940797527321
1.1132237550336868,1.1132237550336868
0.6155440779402852,0.864383916486986
1.0779758499702439,0.935581227648072
0.711541436961852,0.879571279976517
0.5563270070124418,0.814922425383702
0.8676043250598013,0.8237027419963852
0.5184630890144035,0.7800970772846735
0.7459064109716564,0.7758232439955464
4.896137737901881,1.2336359655406948
1.0284430560423061,1.213116674590856
1.1600937959738076,1.2082964128983968
0.6872972639976069,1.1648798171566643
0.8060377029469237,1.137276577602069
0.726160385995172,1.1079111353444335
0.7674912579823285,1.0852164768536265
1.0370816430076957,1.0822080497382558
0.4147662799805403,1.0429467691642724
0.29004264902323484,1.0011187624897704
0.5191606930457056,0.9757525483085039
0.5372931220335886,0.9538295769947581
Batch Avg1,0.9538295769947581
0.7643148269271478,0.7643148269271478
0.5980290529550985,0.6811719399411231
0.4543178540188819,0.6055539113003761
0.8114573470083997,0.657029770227382
1.8238974390551448,0.8904033039929345
1.474328285898082,0.9877241343104591
2.63329737004824,1.222806025130142
0.80708887509536,1.1708413813757943
0.5985317649319768,1.107251423993148
0.3543069859733805,1.0319569801911712
1.055867105955258,1.0341306279879063
0.90381844190415,1.0232712791475933
0.6815082329558209,0.9969818140559185
0.28890956297982484,0.9464052246933404
0.7008862780639902,0.9300372949180503
1.094852016074583,0.9403382149903337
0.4983078968944028,0.914336431572926
0.8068410910200328,0.9083644682088763
0.47540211398154497,0.885576975881122
0.7790318430634215,0.880249719240237
Batch Avg2,0.880249719240237
0.6933673419989645,0.6933673419989645
0.45360254496335983,0.5734849434811622
1.175415538949892,0.7741284753040721
0.6207214690512046,0.7357767237408552
0.28789345803670585,0.6462000706000254
0.4347067989874631,0.6109511919979317
1.1596026609186083,0.689329973272314
0.5182108710287139,0.667940085491864
0.26816266193054616,0.6235203717628287
2.074070564005524,0.7685753909870983
0.560203377972357,0.7496324807130308
0.5613673669286072,0.7339437212309955
0.3709947250317782,0.7060245676772096
1.2448311899788678,0.7445107549844708
1.1413796138949692,0.7709686789118374
0.5001623349962756,0.7540432824171148
0.7051602560095489,0.7511678102754933
1.1763249619398266,0.774787652034623
0.3954334370791912,0.7548216407211792
0.2895360359689221,0.7315573604835663
Batch Avg3,0.7315573604835663
0.6995763890445232,0.6995763890445232
0.7189390079583973,0.7092576985014603
7.658785040024668,3.0257668123425296
0.9508201970020309,2.507030158507405
0.805648659938015,2.166753858793527
0.9073148609604686,1.9568473591546838
0.4133475199341774,1.736347382123183
2.766926576034166,1.8651697813620558
0.5613646060228348,1.7203025396576979
0.7114492170512676,1.619417207397055
0.48074571893084794,1.5159016175364906
0.22908994695171714,1.4086673116544262
0.4748033760115504,1.336831624297282
0.515321261016652,1.2781523126343797
0.5800318870460615,1.2316109509284918
4.255535566015169,1.4206062393714092
0.8298784600337967,1.3858575464691967
0.6239170889602974,1.3435275210520357
5.923906515003182,1.5846000996810432
0.37899851705878973,1.5243200205499305
Batch Avg4,1.5243200205499305
3.385116665973328,3.385116665973328
0.5192311370046809,1.9521739014890045
0.45505842205602676,1.4531354083446786
1.1632598279975355,1.3806665132578928
1.3256828129524365,1.3696697731968015
0.4792526529636234,1.2212669198246051
1.0791104199597612,1.2009588484153417
0.51751636096742,1.1155285374843515
0.4580257849302143,1.0424726760894474
0.27524771890603006,0.9657501803711057
0.830431020935066,0.9534484386041929
1.2394973899936303,0.9772858512199795
0.9520221130223945,0.9753424867432421
0.7084676208905876,0.9562799963251953
0.7684827089542523,0.9437601771671325
0.9448628620011732,0.94382909496926
0.6202862390782684,0.9247971622697899
0.6624593660235405,0.9102228402561094
0.7909349289257079,0.9039445291334567
0.7670231369556859,0.8970984595245681
Batch Avg5,0.8970984595245681
1.0611102520488203,1.0611102520488203
0.8067643919494003,0.9339373219991103
0.6243584390031174,0.830744361000446
0.2688627919415012,0.6902739687357098
0.33186296897474676,0.6185917687835172
1.0298075329046696,0.6871277294703759
0.8483437940012664,0.7101585958319317
0.46094337792601436,0.679006693593692
0.5174863199936226,0.6610599854159065
0.5802494139643386,0.6529789282707498
0.49550507904496044,0.638663123795678
4.2301720740506425,0.9379555363169251
0.5558870499953628,0.9085656527537279
0.5030332710593939,0.8795990540612755
0.2462025519926101,0.8373726205900311
0.5814879579702392,0.8213798291762942
0.3313831229461357,0.7925564935156966
1.2453907169401646,0.8177139503726115
0.9114730689907447,0.8226486408261975
0.6358987860148773,0.8133111480856314
Batch Avg6,0.8133111480856314
0.6459331408841535,0.6459331408841535
0.5401301730889827,0.5930316569865681
0.5796605529030785,0.5885746222920716
0.9082788970554247,0.6685006909829099
0.9518265629885718,0.7251658653840423
0.20863806700799614,0.6390778989880346
0.571032501058653,0.6293571278552658
0.5797136990586296,0.6231516992556863
0.35522758797742426,0.5933823535581015
0.18926548701711,0.5529706669040024
0.3528840329963714,0.5347809729123996
